840
 324.293  -14.273 4 0
 333.133  -14.781 4 0
 342.000  -14.952 4 0
 350.867  -14.781 4 0
 359.707  -14.273 4 0
   8.494  -13.442 4 0
 319.671  -21.524 4 0
 328.538  -22.522 4 0
 337.501  -23.028 4 0
 346.499  -23.028 4 0
 355.462  -22.522 4 0
   4.329  -21.524 4 0
  13.048  -20.067 4 0
 314.607  -28.755 4 0
 323.533  -30.379 4 0
 332.701  -31.380 4 0
 342.000  -31.718 4 0
 351.299  -31.380 4 0
   0.467  -30.379 4 0
   9.393  -28.755 4 0
  18.000  -26.565 4 0
 355.279   21.959 4 0
 359.712   15.043 4 0
   3.929   23.275 4 0
   4.052    8.043 4 0
   8.268   16.045 4 0
  12.837   23.958 4 0
   8.422    0.992 4 0
  12.676    8.718 4 0
  17.110   16.395 4 0
  21.907   23.971 4 0
  12.944   -6.075 4 0
  17.272    1.328 4 0
  21.626    8.723 4 0
  26.157   16.066 4 0
  31.033   23.307 4 0
  17.741  -13.114 4 0
  22.173   -6.081 4 0
  26.490    0.988 4 0
  30.826    8.050 4 0
  35.316   15.066 4 0
  40.110   21.987 4 0
  22.952  -20.067 4 0
  27.506  -13.442 4 0
  31.812   -6.739 4 0
  36.000   -0.000 4 0
  40.188    6.739 4 0
  44.494   13.442 4 0
  49.048   20.067 4 0
  54.000   13.622 4 0
  49.395    6.916 4 0
  58.605    6.916 4 0
  45.000    0.000 4 0
  54.000    0.000 4 0
  63.000    0.000 4 0
  40.681   -7.079 4 0
  49.559   -7.251 4 0
  58.441   -7.251 4 0
  67.319   -7.079 4 0
  36.293  -14.273 4 0
  45.133  -14.781 4 0
  54.000  -14.952 4 0
  62.867  -14.781 4 0
  71.707  -14.273 4 0
  31.671  -21.524 4 0
  40.538  -22.522 4 0
  49.501  -23.028 4 0
  58.499  -23.028 4 0
  67.462  -22.522 4 0
  76.329  -21.524 4 0
  26.607  -28.755 4 0
  35.533  -30.379 4 0
  44.701  -31.380 4 0
  54.000  -31.718 4 0
  63.299  -31.380 4 0
  72.467  -30.379 4 0
  81.393  -28.755 4 0
  18.000  -34.494 4 0
  18.000  -42.424 4 0
  27.454  -36.722 4 0
  18.000  -50.353 4 0
  28.739  -44.755 4 0
  37.458  -38.336 4 0
  18.000  -58.282 4 0
  30.726  -52.839 4 0
  40.386  -46.353 4 0
  47.905  -39.231 4 0
  18.000  -66.212 4 0
  33.972  -60.937 4 0
  44.948  -54.340 4 0
  52.747  -47.031 4 0
  58.616  -39.323 4 0
  18.000  -74.141 4 0
  39.877  -68.950 4 0
  52.444  -62.098 4 0
  60.186  -54.537 4 0
  65.453  -46.639 4 0
  69.359  -38.561 4 0
  18.000  -82.071 4 0
  52.914  -76.546 4 0
  65.721  -69.133 4 0
  71.877  -61.257 4 0
  75.534  -53.215 4 0
  78.025  -45.096 4 0
